17K354,K354,The School of Integrated Learning,DOE,General Academic,Junior High-Intermediate-Middle,06 07 08 SE,6/7/2008,Jul 1 2005,Open,K390,1224 PARK PLACE,BROOKLYN,NY,11213,17,17,K817,COMMUNITY SCHOOL DISTRICT 17,true
84K357,K357,KIPP AMP Charter School,Charter,General Academic,K-12 all grades,0K 04 05 06 07 08 09 10 11 12 SE,0K 01 02 03 04 05 06 07 08 09 10 11 12,Jul 1 2005,Open,K390,1224 PARK PLACE,BROOKLYN,NY,11213,17,84,K01D,OFFICE OF CHARTER SCHOOLS,true
84X177,X177,MOTT HALL CHARTER SCHOOL,Charter,General Academic,Junior High-Intermediate-Middle,6/7/2015,6/7/2008,Jul 1 2012,Open,X063,1260 FRANKLIN AVENUE,BRONX,NY,10456,9,84,K01D,OFFICE OF CHARTER SCHOOLS,true
09X063,X063,P.S. 063 Author's Academy,DOE,General Academic,Elementary,0K 01 02 03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1924,Open,X063,1260 FRANKLIN AVENUE,BRONX,NY,10456,9,9,X809,COMMUNITY SCHOOL DISTRICT 09,true
32K383,K383,J.H.S. 383 Philippa Schuyler,DOE,General Academic,Junior High-Intermediate-Middle,05 06 07 08 SE,05 06 07 08,Jul 1 1977,Open,K383,1300 GREENE AVENUE,BROOKLYN,NY,11237,32,32,K832,COMMUNITY SCHOOL DISTRICT 32,true
84K538,K538,Achievement First Bushwick Charter School,Charter,General Academic,K-12 all grades,0K 01 02 03 04 05 06 07 08 09 10 11 SE,0K 01 02 03 04 05 06 07 08 09 10 11 12,Jul 1 2006,Open,K383,1300 GREENE AVENUE,BROOKLYN,NY,11237,32,84,K01D,OFFICE OF CHARTER SCHOOLS,true
03M242,M242,P.S. 242 - The Young Diplomats Magnet Academy,DOE,General Academic,Elementary,PK 0K 01 02 03 04 05 SE,0K 01 02 03 04 05,Jun 22 1999,Open,M144,134 WEST 122 STREET,MANHATTAN,NY,10027,3,3,M803,COMMUNITY SCHOOL DISTRICT 03,true
84M861,M861,Future Leaders Institute Charter School,Charter,General Academic,K-8,0K 01 02 03 04 05 06 07 08,0K 01 02 03 04 05 06 07 08,Jul 1 2001,Open,M144,134 WEST 122 STREET,MANHATTAN,NY,10027,3,84,K01D,OFFICE OF CHARTER SCHOOLS,true
75K140,K140,P.S. K140,DOE,Special Education,K-8,0K 01 02 03 04 05 06 07 08 09 SE,0K 01 02 03 04 05 06 07 08 SE,Jul 1 1999,Open,K258,141 MACON STREET,BROOKLYN,NY,11216,13,75,M02I,CITYWIDE SPECIAL EDUCATION,true
84K517,K517,Leadership Prep Bedford Stuyvesant Charter School,Charter,General Academic,K-8,0K 01 02 03 04 05 06 07 08,0K 01 02 03 04 05 06 07 08,Jul 1 2006,Open,K258,141 MACON STREET,BROOKLYN,NY,11216,13,84,K01D,OFFICE OF CHARTER SCHOOLS,true
05M030,M030,P.S. 030 Hernandez/Hughes,DOE,General Academic,Elementary,0K 01 02 03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1969,Open,M030,144-176 EAST 128 STREET,MANHATTAN,NY,10035,5,5,M805,COMMUNITY SCHOOL DISTRICT 05,true
75M138,M138,P.S. 138,DOE,Special Education,K-12 all grades,01 02 03 04 05 06 07 08 09 10 11 12 SE,01 02 03 04 05 06 07 08 09 10 11 12 SE,Jun 26 1989,Open,M030,144-176 EAST 128 STREET,MANHATTAN,NY,10035,5,75,M02I,CITYWIDE SPECIAL EDUCATION,true
84M384,M384,Success Academy Charter School - Harlem 2,Charter,General Academic,Elementary,0K 01 02 03 04 05 06 SE,0K 01 02 03 04 05 06 07 08,Jul 1 2008,Open,M030,144-176 EAST 128 STREET,MANHATTAN,NY,10035,5,84,K01D,OFFICE OF CHARTER SCHOOLS,true
03M402,M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,DOE,Career Technical,High school,09 10 11 12 SE,09 10 11 12,Jul 1 2009,Open,M470,145 WEST 84 STREET,MANHATTAN,NY,10024,3,3,M803,COMMUNITY SCHOOL DISTRICT 03,true
03M403,M403,THE GLOBAL LEARNING COLLABORATIVE,DOE,General Academic,High school,09 10 11 12 SE,09 10 11 12,Jul 1 2009,Open,M470,145 WEST 84 STREET,MANHATTAN,NY,10024,3,3,M803,COMMUNITY SCHOOL DISTRICT 03,true
03M404,M404,INNOVATION DIPLOMA PLUS,DOE,Transfer School,High school,09 10 11 12,09 10 11 12,Jul 1 2009,Open,M470,145 WEST 84 STREET,MANHATTAN,NY,10024,3,3,M803,COMMUNITY SCHOOL DISTRICT 03,true
03M417,M417,FRANK McCOURT HIGH SCHOOL,DOE,General Academic,High school,09 10 11 12 SE,09 10 11 12,Jul 1 2010,Open,M470,145 WEST 84 STREET,MANHATTAN,NY,10024,3,3,M803,COMMUNITY SCHOOL DISTRICT 03,true
84M523,M523,Success Academy Charter School - Upper West,Charter,General Academic,Elementary,0K 01 02 03 SE,0K 01 02 03 04 05 06 07 08,Jul 1 2011,Open,M470,145 WEST 84 STREET,MANHATTAN,NY,10024,3,84,K01D,OFFICE OF CHARTER SCHOOLS,true
23K646,K646,Aspirations Diploma Plus High School,DOE,Transfer School,High school,09 10 11 12 SE,09 10 11 12,Jul 1 2008,Open,K894,1495 HERKIMER STREET,BROOKLYN,NY,11233,23,23,K823,COMMUNITY SCHOOL DISTRICT 23,true
